,username,description,location,text,hashtags
31,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Russia-Ukraine Crisis: Watch ground report from Kyiv 

#Promo #Ukraine #Russia #World | @gauravcsawant https://t.co/uGt8OfFlXy","['Promo', 'Ukraine', 'Russia', 'World']"
32,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#FactCheck | @AFWACheck has found that the claim along with the video was misleading. While the women were indeed protesting against the hijab ban, this incident happened in Uttar Pradesh’s Ghaziabad, not Karnataka. (By @dheeshmap)
#Video 

Read for more: https://t.co/phydA2dkQE https://t.co/eOSgk3FSph","['FactCheck', 'Video']"
33,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#KISAN app will send weather updates to farmers among other details to help boost agriculture.
#education 
https://t.co/X9hBvR54cB","['KISAN', 'education']"
34,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Irked by the unprofessional manner in which notaries were functioning, the Bombay High Court said the Notaries Act requires “major reform” and forwarded recommendations for the same to the Centre.
#Bombay #HighCourt | @journovidya 
https://t.co/W6Lgtqv6v3","['Bombay', 'HighCourt']"
35,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Rice liquor is a cottage industry in Andro village.. Even though police and EC are conducting raids and siezing liquor, It's openly being made and bottled in the village area. Local say it is ""part of cultural traditions""
#ReporterDiary #ManipurElections2022 | (@aneeshamathur) https://t.co/EJyMOKGwZo","['ReporterDiary', 'ManipurElections2022']"
36,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Ground report from Kyiv | No panic among Indian students in Ukraine

#Ukraine #Russia #World #News | @gauravcsawant https://t.co/r2KcIeZK8x","['Ukraine', 'Russia', 'World', 'News']"
37,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Lt Gen @VGK_India the former military advisor to NSCS, explains about the ongoing Russia-Ukraine conflict. 

#Russia #Ukraine #ReporterDiary

(@Pkhelkar) https://t.co/CZvRESxdar","['Russia', 'Ukraine', 'ReporterDiary']"
38,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Ground report from Kyiv | Young Ukrainians get training of AK-47

#Ukraine #Russia #World #News | @gauravcsawant https://t.co/HwqPNhRdl5","['Ukraine', 'Russia', 'World', 'News']"
39,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Local body elections in Tamil Nadu are being held after 10 years is nothing but a fierce battle between DMK and AIADMK.

#ReporterDiary #Politics 

(@PramodMadhav6) https://t.co/09XDvuUdSC","['ReporterDiary', 'Politics']"
40,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Massive protest by SFI claiming that they will not let any privatisation of education department. 

#ReporterDiary #Kolkata 

(@Suryavachan) https://t.co/ctGe55byx9","['ReporterDiary', 'Kolkata']"
41,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#SmritiIrani joins traditional #Manipuri dancers for a brief performance in #Imphal
#Trending 
https://t.co/cmixjIYxG4","['SmritiIrani', 'Manipuri', 'Imphal', 'Trending']"
