Date,User,Tweet
2022-09-02 14:24:08+00:00,IndiaToday,"Delhi Police arrested three men from Rajasthan in connection with a robbery case of jewellery worth over Rs 5 crore in Paharganj.
(@TanseemHaider )
#Delhi #Crime 
https://t.co/lIz8XY1sAn"
2022-09-02 12:15:37+00:00,IndiaToday,"The Bombay High Court has acquitted four men who were in jail for seven years on robbery charges committed on a highway in Maharashtra's Roha.
(@journovidya )
https://t.co/A2l55KXd1D"
2022-09-01 03:40:00+00:00,TimesNow,"#Barcelona striker Aubameyang's jaw injured in armed robbery at home in Castelldefels, Spain.
https://t.co/8rmXdMGNEe"
2022-08-31 16:10:15+00:00,CNNnews18,"Is AAP's 'anti-corruption' image been robbed away amid BJP vs AAP political clash?

@ArunAnandLive (Consulting Editor, Firstpost) shares his views; @shals77, AAP responds

Watch #BrassTacks with @Zakka_Jacob https://t.co/BJ0y8qkdss"
2022-08-31 05:52:25+00:00,IndiaToday,"Three thieves entered a house in Kanpur's Mardanpur village and robbed a couple at gunpoint

#Kanpur (@Simerchawla20) 
https://t.co/9ZCzkdyA5g"
2022-08-29 11:06:57+00:00,republic,"Pierre-Emerick Aubameyang violently 'robbed at gunpoint' at Barcelona home, claims report https://t.co/uTwJWoxphV"
2022-08-27 06:38:49+00:00,republic,"Bihar: Patna Metro project camp office robbed; criminals steal crucial docs, equipment https://t.co/e2gNUCS1pO"
2022-08-22 03:49:37+00:00,ndtv,"Chennai Cop Among 6 Arrested In Robbery Case, 31.7 Kg Gold Recovered https://t.co/234cOBssRq

NDTV's Sam Daniel reports https://t.co/ntUrmSIK2f"
2022-08-19 19:04:56+00:00,republic,Tamil Nadu: Policeman allegedly involved in FedBank robbery case in Chennai arrested https://t.co/CojqVj5IOQ
2022-08-18 12:26:55+00:00,IndiaToday,"An Army man was shot dead by miscreants after he allegedly resisted a robbery attempt in Bihar’s Patna.
(@sujjha)
https://t.co/uIF7jJBIlx"
2022-08-17 13:00:02+00:00,TimesNow,"#Kerala man falls prey to honey-trap racket; #robbed ; accused on the run 

https://t.co/Afyv3QhjWq"
2022-08-17 08:40:00+00:00,TimesNow,"#Chandigarh: Property dealer threatened, robbed by four men posing as crime branch officers

https://t.co/6xnZDjYFbv"
